"","tf"
"인순이",222
"인순",194
"아버지",135
"노래",111
"윤민수",77
"박정현",63
"사랑",60
"좋다",56
"바비킴",55
"나도",45
"듣다",45
"김범수",41
"무대",41
"정말",40
"많다",36
"사람",32
"좋아하다",29
"진짜",29
"감동",28
"눈물",28
"부르다",28
"생각",28
"아니다",28
"자우림",26
"듣기",25
"울다",23
"공연",22
"경연",21
"깊다",21
"다시보기",20
"바이브",20
"상처",20
"mbc",19
"그리다",19
"역시",19
"임재범",19
"조관우",19
"출연",19
"싶다",18
"서바이벌",17
"최고",17
"인순이님",16
"인순이의",16
"느끼다",15
"명예졸업",15
"아직",15
"열창",15
"음악",15
"차다",15
"하지",15
"호주",15
"거다",14
"모르다",14
"순위",14
"윤도현",14
"장혜진",14
"김조한",13
"다르다",13
"새롭다",13
"선호",13
"선호도",13
"원문",13
"주다",13
"청중평가단",13
"콘서트",13
"가사",12
"네이버",12
"동영",12
"마지막",12
"멋지다",12
"엄청",12
"완전",11
"yb",10
"가슴",10
"계속",10
"김조",10
"다운",10
"대박",10
"마음",10
"만들다",10
"멤버",10
"받다",10
"세상",10
"여러분",10
"listening",9
"다음",9
