program_id,start_date,end_date,duration_type,watch_rate,register_date,update_date,category,channel,air_cycle
kbs1_greatking,20110815,20110821,weekly,0.171,,,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110822,20110828,weekly,0.161,,,drama,KBS1,"SAT,SUN"
kbs2_gagcon,20110815,20110821,weekly,0.156,,,entertain,KBS2,SUN
kbs2_gagcon,20110822,20110828,weekly,0.167,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110815,20110821,weekly,0.147,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110822,20110828,weekly,0.175,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110815,20110821,weekly,0.147,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110822,20110828,weekly,0.175,,,entertain,KBS2,SUN
kbs2_ojakkyo,20110815,20110821,weekly,0.227,,,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110822,20110828,weekly,0.21,,,drama,KBS2,"SAT,SUN"
kbs2_princess,20110815,20110821,weekly,0.172,,,drama,KBS2,"WED,THU"
kbs2_princess,20110822,20110828,weekly,0.169,,,drama,KBS2,"WED,THU"
kbs2_spy,20110815,20110821,weekly,0.058,,,drama,KBS2,"MON,TUE"
kbs2_spy,20110822,20110828,weekly,0.077,,,drama,KBS2,"MON,TUE"
kbs_homewomen,20110815,20110821,weekly,0.217,,,drama,KBS1,MON~FRI
kbs_homewomen,20110822,20110828,weekly,0.222,,,drama,KBS1,MON~FRI
mbc_challenge,20110815,20110821,weekly,0.153,,,entertain,MBC,SAT
mbc_challenge,20110822,20110828,weekly,0.146,,,entertain,MBC,SAT
mbc_fallinlove,20110815,20110821,weekly,0.055,,,drama,MBC,"WED,THU"
mbc_gyebaek,20110815,20110821,weekly,0.106,,,drama,MBC,"MON,TUE"
mbc_gyebaek,20110822,20110828,weekly,0.118,,,drama,MBC,"MON,TUE"
mbc_sundaynight_house,20110815,20110821,weekly,0.102,,,entertain,MBC,SUN
mbc_sundaynight_house,20110822,20110828,weekly,0.093,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110815,20110821,weekly,0.102,,,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110822,20110828,weekly,0.093,,,entertain,MBC,SUN
mbc_thousand,20110815,20110821,weekly,0.084,,,drama,MBC,"SAT,SUN"
mbc_thousand,20110822,20110828,weekly,0.08,,,drama,MBC,"SAT,SUN"
mbc_three,20110815,20110821,weekly,0.111,,,entertain,MBC,SAT
mbc_three,20110822,20110828,weekly,0.121,,,entertain,MBC,SAT
mbc_urpretty,20110815,20110821,weekly,0.12,,,drama,MBC,MON~FRI
mbc_urpretty,20110822,20110828,weekly,0.135,,,drama,MBC,MON~FRI
mbc_wedding,20110815,20110821,weekly,0.087,,,entertain,MBC,SAT
mbc_wedding,20110822,20110828,weekly,0.079,,,entertain,MBC,SAT
sbs_baekdongsoo,20110815,20110821,weekly,0.187,,,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110822,20110828,weekly,0.178,,,drama,SBS,"MON,TUE"
sbs_besideme,20110815,20110821,weekly,0.145,,,drama,SBS,"SAT,SUN"
sbs_besideme,20110822,20110828,weekly,0.136,,,drama,SBS,"SAT,SUN"
sbs_boss,20110815,20110821,weekly,0.159,,,drama,SBS,"SAT,SUN"
sbs_boss,20110822,20110828,weekly,0.148,,,drama,SBS,"SAT,SUN"
sbs_dangsin,20110815,20110821,weekly,0.132,,,drama,SBS,MON~FRI
sbs_dangsin,20110822,20110828,weekly,0.133,,,drama,SBS,MON~FRI
sbs_happytogether,20110815,20110821,weekly,0.137,,,entertain,KBS2,THU
sbs_happytogether,20110822,20110828,weekly,0.121,,,entertain,KBS2,THU
sbs_newsunday,20110815,20110821,weekly,0.098,,,entertain,SBS,SUN
sbs_newsunday,20110822,20110828,weekly,0.082,,,entertain,SBS,SUN
sbs_scent,20110815,20110821,weekly,0.182,,,drama,SBS,"SAT,SUN"
sbs_scent,20110822,20110828,weekly,0.166,,,drama,SBS,"SAT,SUN"
sbs_starking,20110815,20110821,weekly,0.111,,,entertain,SBS,SAT
sbs_starking,20110822,20110828,weekly,0.079,,,entertain,SBS,SAT
sbs_strongheart,20110815,20110821,weekly,0.108,,,entertain,SBS,TUE
sbs_strongheart,20110822,20110828,weekly,0.112,,,entertain,SBS,TUE
